Pat Forsythe,33,0,11.2,1.4,2.7,.506,1.4,2.7,.506,0.0,0.0,,0.7,1.3,.535,0.9,1.8,2.7,0.3,0.2,0.8,1.1,1.5,3.4,0
Adedeji Ibitayo,29,2,11.0,1.0,2.9,.329,0.6,1.4,.429,0.3,1.5,.233,0.7,1.2,.588,0.3,1.4,1.8,0.7,0.3,0.1,0.6,1.0,3.0,0
Jonas Stalyga,5,0,1.4,1.0,2.0,.500,0.4,0.8,.500,0.6,1.2,.500,0.2,1.0,.200,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.0,2.8,0
Carmelo Betancourt,33,5,11.5,0.8,2.1,.382,0.7,1.5,.471,0.1,0.5,.118,0.4,0.7,.522,0.1,0.8,0.9,1.6,0.4,0.0,1.8,1.4,2.0,0
Darius Hoisten,5,0,1.4,0.0,0.4,.000,0.0,0.2,.000,0.0,0.2,.000,0.4,0.4,1.000,0.4,0.4,0.8,0.0,0.0,0.0,0.0,0.2,0.4,0
Blake Justice,7,0,3.1,0.0,1.1,.000,0.0,0.0,,0.0,1.1,.000,0.3,0.3,1.000,0.1,0.1,0.3,0.3,0.0,0.0,0.1,0.6,0.3,0
Luke Avsec,7,0,1.9,0.0,0.1,.000,0.0,0.0,,0.0,0.1,.000,0.0,0.0,,0.3,0.0,0.3,0.3,0.0,0.0,0.4,0.3,0.0,0
Quinterian McConico,28,27,30.5,6.1,10.4,.584,6.1,10.3,.588,0.0,0.1,.000,1.8,3.1,.586,2.1,5.3,7.5,0.7,0.4,0.4,1.7,2.3,14.0,0
De'Edrick Petty,29,24,29.4,3.6,10.5,.341,1.9,4.6,.421,1.7,5.9,.279,4.5,6.0,.749,0.6,2.5,3.0,1.3,0.3,0.2,1.9,2.0,13.3,0
Adrian Edwards,17,12,22.2,2.6,5.2,.500,2.6,5.1,.512,0.0,0.1,.000,2.0,2.9,.680,1.7,2.9,4.6,1.0,0.4,0.7,0.9,2.6,7.2,0
Rakiya Battle,29,28,31.4,2.0,7.2,.281,1.4,4.8,.300,0.6,2.4,.243,1.6,2.4,.667,0.5,2.7,3.2,4.9,1.0,0.1,2.9,1.8,6.2,0
